userName,content,score,at,appVersion
Habisoekamti Habi,Tolong kenapa gopaylatter gak pernah bisa di pake Padahal bayar gak pernah telat Percuma ngasih fasilitas GAK GUNAAA GAK MEMBANTUU,1,2024-01-24 14:55:02,4.81.2
Dessy Sujatwati,Rute goridere selalu di lewatin jln kecil banyak polisi tidur menghambat percalan menyebalkan,1,2024-01-24 14:58:30,4.81.2
Semar Mesem,Ok,5,2024-01-25 23:02:49,4.81.2
Insan Deli,Ongkir gofood mahal najis jarak deket juga,1,2024-01-24 17:15:03,4.81.2
Kukuh Uripsantoso,Mantap,5,2024-01-25 18:49:09,4.81.2
Andira Jaya Saputra,Penyelmat,5,2024-01-25 18:50:48,4.81.2
Saiful Arif,Dikembangkan lagi apk nya,5,2024-01-25 19:53:25,4.81.2
Adi Putra,sya draver hampir 3 jam gk dikasih orderan tpi vendor yg bersama gojek sprti goflet selalu perioritas gak di baca komen saya,1,2024-01-24 16:33:34,4.81.2
moch iqbal hafidz,awalnya bintang 5 karena merasa puas sekarang saya kasih bintang 1 ganti management ya jadi ribet banget,1,2024-01-25 22:08:13,4.81.2
Nafisaaurayaaprmass Pranaswarii,Aplikasinya Bagus kok saya sering pake kalo mau berangkat sklah,5,2024-01-25 22:40:43,4.81.2
Asep,sangat membantu banget,5,2024-01-25 22:43:52,4.81.2
Nayaka Azaliawidyatna,bgus,2,2024-01-25 22:56:49,4.81.2
Agus Buah,G bisa d buka ni susah aplikasi Gojek nya knp ya,5,2024-01-25 22:58:04,4.81.2
Irul fatah,Top,5,2024-01-25 23:26:09,4.81.2
Surya Buditama,Sangat membantu dalam bidang transportasi dan kebutuhan sehari hari masyarakat indonesia,5,2024-01-24 15:03:11,4.81.2
Zacky Putra,Kepada admin gojek  Saya mau tanya  kenapa akses gopay pinjam saya statusnya dalam pengecekan trus  sudah beberapa hari  Apakah ngebug ,4,2024-01-24 15:55:08,4.81.2
Budi Heriyadi,Aplikasinya buruk Map nya suka bermasalah Ngebug,1,2024-01-25 23:46:21,4.81.2
Adinassa HD,Mempermudah keperluan Yaa meski sekarang jatang bgt ada diskon nya,5,2024-01-24 15:38:19,4.81.2
Susiati Sisie,Rugi update app jd tambah ribet mau beli pulsa aj musti ke toko pelayanan tdk spt dulu gmn mengembalikan dpt setelan awal ya,1,2024-01-25 23:51:47,4.81.2
Kristina c,promo gofood udah jarang potongan masing masing dr store dan gak bisa di gabungin promo dari toko sama promo voucher yg ada,2,2024-01-24 15:27:21,4.81.2
Bakuel Teri,Ongkir gofood makin mahal,3,2024-01-26 00:01:34,4.81.2
Zaen Zunkkar,Mantap,5,2024-01-24 15:21:38,4.81.2
DE HA,Oke,5,2024-01-26 00:16:50,4.81.2
Asep Ono,Jadi jelek fitur payleter tidak bisa dipakai,1,2024-01-26 00:19:43,4.81.2
Meylinda,Baik orangnya,5,2024-01-24 15:09:53,4.81.2
Titi Alan,Pelayanan baik makasih,5,2024-01-26 04:14:40,4.81.2
Suhartini Soehadi,Seneng klu banyak discontnya,5,2024-01-24 13:00:11,4.81.2
Litha Asghar,Kenapa gopaylater sy tidak dapat di gunakan padahal sy membayar tagihan sebelum jatuh tempo dan tidak ada tunggakan,5,2024-01-25 18:19:44,4.81.2
aroh istikharoh,Sangat terbantu dg aplikasi ini cuma hbis update kok gk bisa di buka jdi kacau pas mau pesan mental gk bisa,5,2024-01-26 04:32:31,4.81.2
Dimas Iim,buruk,1,2024-01-26 08:26:21,4.81.2
zahra febyan Paladeta,Pelayanan customer servis sangat buruk sudah 5 hari saya mengajukan pengembalian saldo gopay and then apa yang terjadi sampai sekarang saldo gopay saya tidak di return dengan alasan mereka menghubungi saya tapi sayanya tidak bisa di hubungi saya cek hp saya mana ngga ada mereka menghubungi saya,1,2024-01-24 11:48:03,4.81.2
Nur Eko nur Eko,Hello admin Mau coba menyampaikan beberapa hal nih diantaranya 1 Semoga GoJek tetap akses buat siapapun 2 Tolong admin buat tema gelap buat aplikasi GoJek dan semoga aplikasi GoJek semakin berkembang dengan baik banyak peminatnya ya admin 3 Saya berharap untuk ukuran aplikasi jangan terlalu besar ya admin Terimakasih,5,2024-01-26 08:46:47,4.81.2
Nava rashiel AH067,Bagus,5,2024-01-26 09:00:14,4.81.2
Nurul Fitri,Sekarang semakin buruk apk ini para supir gojek terutama mobil selalu menolak pelanggan tp g mau mengcansel nya,1,2024-01-26 09:13:23,4.81.2
Muhammad Hujairin,Sangat bermanfaat,5,2024-01-24 11:38:09,4.81.2
sugiyarto marsandi,Enak murah,5,2024-01-26 09:15:16,4.81.2
Cak Rusdi,Sangat memuaskan dgn memakai gojek,5,2024-01-26 09:15:24,4.81.2
Alpin Gaming,MANTAP ,1,2024-01-24 11:27:06,4.81.2
Divanna Diva081,di gojek enk bnr jir naek motor pling murah juga mobil  mw nngss murah bgt njay mna klo tf atau topup gaada biaya admin we love you GOJEK 33,5,2024-01-26 09:48:16,4.81.2
Richa Ayu Ramadhani,Paketnya ayam bakarnya enak mantul pokoknya,5,2024-01-26 09:52:36,4.81.2
Septian Wibisono,Dh masuk trs keluar sendiri,1,2024-01-26 09:52:51,4.81.2
Wardoyo Baedi,Trim,5,2024-01-24 11:11:50,4.81.2
Fitri Dyn,Suka bgtt pke ini dr 2015,5,2024-01-26 10:05:25,4.81.2
Mr.Master B_Andhika,Knp yah klo driver telpon ke saya gak ada pilihan buat ngangkat tlpnya Cuma bunyi doang,5,2024-01-26 10:13:53,4.81.2
Risan Gunawan,Setiap laporan masalah tidak pernah selesai sma CS nya PAYAH  Apa harus lapor ke media konsumen Apalagi masalah Cashback dan makanan tidak sesuai pasti ga pernah selesai masalahnya Tolong perbaiki lagi layanan anda terutama untuk Cs nya ga pernah menyelesaikan masalah binggung harus buat laporan seperti apa lagi supaya ditanggepin masalahnya,1,2024-01-24 11:01:39,4.81.2
Fatmalia Lia,Apk ini bagus sangat membantu,5,2024-01-26 10:21:39,4.81.2
rizka mawarida,Aneh pake paylater gojek juga gapernah telat bayar Kemarin bayar paylater langsung diblokir Lol,2,2024-01-26 10:22:57,4.81.2
Kevi Romeo,Alhamdulillah salama ini gojek selalu mengantarkan saya dengan selamat,5,2024-01-26 10:28:47,4.81.2
Destu utari,Makin lemottt pas di buka,1,2024-01-24 10:54:55,4.81.2
Nafis Muhammad,Bagus,5,2024-01-26 10:36:11,4.81.2
Feri Santoso,Ok,5,2024-01-26 10:39:07,4.81.2
official channel (aguscatering),Tidak pro siraellgbtkarya anak negeri,5,2024-01-26 10:51:37,4.81.2
Wahono Sumasto,Aplikasi GoJek sangat bagus dan menarik Berguna untuk keperluan seharihari,5,2024-01-24 11:52:30,4.81.2
Dari Atjeh Adi,ini kenapa gopaylater saya tidak bisa digunakan padahal sudah dapat limit sampai 21 juta kan sayang ngak bis pakai,1,2024-01-26 07:25:42,4.81.2
Eriss Maulidya,ribet harus je shelter terdekat dlu kalau mau jemput drivernya ga ramah,1,2024-01-26 07:11:09,4.81.2
Helly Wattie,mantap,5,2024-01-26 05:39:06,4.81.2
Nata Ketut,Goridenya bagus,3,2024-01-26 04:44:51,4.81.2
Hakim Said,Mahal diongkos,1,2024-01-24 12:58:31,4.81.2
Oppo A16,Gopay hilangpusat bantuan gk ngebantu sama sekali dari pagi di tungguin gak balik tu gopay,1,2024-01-26 04:53:38,4.81.2
Anisa Anisa Sri maharani,makin di updte makin parahbaru aja buka aplikasi malah keluar balik ga jelas banget,1,2024-01-26 05:11:31,4.81.2
sahala sinaga,Sudah baikditingkatkan lagi pelayanannya baik driver sistem dan cs nya,5,2024-01-26 05:19:27,4.81.2
Rida Super,Kurang simpel dan rumit cara memesan di aplikasi  Sinyal bagus tapi katanya jaringan eror,1,2024-01-24 12:47:13,4.81.2
Chris Shuo (Notorious Hustler),Bancaan GoPayLater tidak bisa dilunaskan sewaktu kita inginkan selalu bisanya bulan depan tgl 15 Pas mau bayar uang hasil buat bayar GoPayLater lari kepada kebutuhan Parah,1,2024-01-26 05:26:32,4.81.2
Jonathan Evon,Ini aplikasi ada2 aja drama nya tiba2 gopaylater di blokir laporan aja ga ada tanggapan help donk,2,2024-01-24 12:43:04,4.81.2
Risman Faizal,Gojek apk nya jelek banget sekarang masa pin gopay saya salah terus udah ganti pin berapa kali gak bisa bisa walaupun bacaannya berhasil Gimana sih ini pake akun punya sendiri aja di ribed ribed,1,2024-01-24 12:38:30,4.81.2
Rizky Ky,Mantap,5,2024-01-24 12:37:00,4.81.2
Rudi ansyah,Gotik apakah tak ada lagi,4,2024-01-26 05:40:17,4.81.2
M Rofiq,Ggak jelas apk nya udah isi gopay 50 k saldo nya ilang gara akun gak ke pake 3 bulan pas udah selesau verifikasi saldo ilang,1,2024-01-26 07:05:21,4.81.2
RZ RENY,Hello saya pengguna baru langganan plus gimana caranya saya pakai plus gofood saya sudah membeli langganan plus,2,2024-01-26 05:44:11,4.81.2
Ratih Puspitasari,Aplikasi yg memudahkan hidup,5,2024-01-26 05:48:15,4.81.2
Zahra Rahimah,Mantapcepat tanggap dgn konsumen,5,2024-01-26 05:53:07,4.81.2
Iskandar Samaullah,Pas,5,2024-01-24 12:15:34,4.81.2
Azka Ajah,sangat2 bagus kalau byk diskon hehe,5,2024-01-26 06:37:56,4.81.2
Sabda Wahyudi,Sistem gojek sekarang parah tidak seperti dulu,1,2024-01-26 06:38:06,4.81.2
Lukmanul Hakim,Sangat membantu,5,2024-01-26 06:38:58,4.81.2
Hesty Harsono87,Good luck,5,2024-01-26 06:43:36,4.81.2
Nuya 22,Go tiket ilang kemana min,1,2024-01-24 12:03:36,4.81.2
Lucky IP,Ntap,5,2024-01-26 07:00:50,4.81.2
Didin & Sheena Official,Ok,5,2024-01-25 18:20:07,4.81.2
shobung tambhena,Sangat memuaskan,5,2024-01-24 18:00:27,4.81.2
Sujana Arif,Aplikasi tolol,1,2024-01-27 15:05:33,4.81.2
yudika simorangkir,Kren,5,2024-01-25 10:25:40,4.81.2
Arifuddin unjung Arif,Baguz,4,2024-01-25 02:53:20,4.81.2
Rifaldi Anwar,Memudahkan segalanya,5,2024-01-25 02:52:30,4.81.2
Blue Kit,Good Job,5,2024-01-25 02:45:19,4.81.2
Ari babang,good,5,2024-01-25 02:44:13,4.81.2
Rita Fera,Nyaman dan banyak promonya,5,2024-01-25 02:37:58,4.81.2
Next Blast,Haha malah di blokir GOPAY latter nya ngakak bayar ga pernah telat tiba2 di blokir ampas,1,2024-01-25 02:33:16,4.81.2
ahmad ginanjar,Good,5,2024-01-25 02:18:58,4.81.2
Mulyana Josie,Padahal saya pelanggan setiap tapi tiba semua promo besar jadi hilang padahal di akun teman saya ada Chat juga tidak ditanggapi,1,2024-01-25 09:04:18,4.81.2
roni setiawan,Aplikasi nya makin kacau tiap buka ke beranda selalu nge bug atau kembali sendiri padahal sinyal bagus,2,2024-01-25 09:07:44,4.81.2
Bharbara Nilam,Aplikasinya sangat apik sekaliibisa membuat aktivitas lebih mudah dengan adanya gojek Tapi terkadang ada sedikit kendala yang terjadi Tapi untung nya sudah teratasi Terimakasih gojek,5,2024-01-25 09:10:04,4.81.2
Christine Natalia,harga lebih mahal dan driver gojek selalu cancel perjalanan,1,2024-01-25 02:06:25,4.81.2
Rezki Damaikal,Aplikasi ini sangat bagus ,5,2024-01-25 09:18:35,4.81.2
SKS Yogya,Ok,5,2024-01-25 09:27:13,4.81.2
Helena Wolo,Sangat membantu ,5,2024-01-25 09:28:41,4.81.2
Nabilradityanugraha Nugraha,Email saya tidak bisa masuk,1,2024-01-25 09:29:54,4.81.2
Akhmad Nadirin,Semua transaksi bisa dilakukan Lewat Group GoTo Mantap,5,2024-01-25 01:40:01,4.81.2
Eri Triansyah,Pelayanannya sangat baik dan semoga lebih ditingkatkan lagi Klo bisa pakai atribut jaket sesuai aplikator dan memakai pakaian yg rapi serta sepatu Terima kasih,5,2024-01-25 09:34:21,4.81.2
Uyock Baba,Saya kasih bintang 5 tp tolong dong knp kalo buka apk gojek selalu keluar sendiri dari apk saya mau bepergian pake gojek jd gk bisa mohon bantuannya Terima kasih ,5,2024-01-25 10:00:52,4.81.2
Salma Salma,Aku kasih Bintang 3 karna tidak ada saldo gratis,3,2024-01-25 10:06:23,4.81.2
Aisa Setiawan,Sangat membantu,5,2024-01-25 10:14:32,4.81.2
Noey Nurhayati (Waroeng Bunda Noey),Transportasi yg mudah dan cepat saat di urgent,5,2024-01-25 01:07:56,4.81.2
Jms JRG,Sangat membantu Terima kasih,5,2024-01-25 02:54:38,4.81.2
Sambolado,Good apk,5,2024-01-25 03:13:04,4.81.2
Achmad Lukman As Ari,Mantab,5,2024-01-25 03:17:05,4.81.2
Anang Firmansya,Jos,5,2024-01-25 05:28:10,4.81.2
Mirah tapi Raos,Baguus,5,2024-01-25 05:04:26,4.81.2
polkadot channel,gopaylater saya gak bisa di gunakan tiba tibasedangkan limit tersediamakin gak jelas,2,2024-01-25 05:00:32,4.81.2
Erna Saban,good,5,2024-01-25 05:34:38,4.81.2
Farzan Fairuz,Bagus,5,2024-01-25 05:36:57,4.81.2
ical megow,Gosend layanan abal2 ksh promo plat 10 K tapi driver nolak berkali2lain kali gak usah bikin promo yg drivernya gak mau kerjasamamonyet ,1,2024-01-25 04:58:23,4.81.2
Sisy Ulandari,Gojek makin oke,5,2024-01-25 05:48:17,4.81.2
Hardiyanto,Limit gopay later sekarang makin kecil denda keterlambatan untuk 1 hari sebesar 50K limit gabisa dipakai untuk beli pulsadata  bagus yang sebelumnya Limit besar denda keterlambatan untuk 1 hari cuma 2K limit bisa dipakai untuk isi pulsadata,1,2024-01-25 05:54:52,4.81.2
wahyu sri rochmani,Baik dan cepat layanannya,4,2024-01-25 04:37:49,4.81.2
nawang anggun,Bagussss,4,2024-01-25 06:19:30,4.81.2
jesika merry christina zebua,Aplikasi gak bisa di buka,1,2024-01-25 04:13:27,4.81.2
Moh Sani,Gojek terbaik soalnya ,5,2024-01-25 07:54:47,4.81.2
Reli Syahputra,Bagusaman dan nyamanserta drivernya bagus Serasa diantar bpk sendiri,5,2024-01-25 04:10:27,4.81.2
Grace leen,Saya bingung sering pakai tpi mengecewakanpesen makanan sudh diambil 30 menit lalu dichat dan telp driver ga ada respon aplikasi error Saya dirugikan pesanan lama pdhal nambah uang buat segera smpaiperbaiki sistemnya jawabnya juga lama sekali bantuan bad,1,2024-01-25 07:02:30,4.81.2
yuni wulandari,Sllu puas pakai gojek,5,2024-01-25 07:16:43,4.81.2
Hendrik Sumampouw,Gojek semakin terdepancepataman  terjangkauTOP ,5,2024-01-25 07:19:33,4.81.2
Dirista Rikadika,Paylater terparah tiba2 gopaylater sy terblokir padahal bayar tepat waktu setelah melakukan pembayaran eh malah akun terblokir ada limit 3 jt gk bs kepake logika nya aneh,1,2024-01-25 07:23:49,4.81.2
Fristy Anita,Aplikasinya susah dibuka eror terus kecewa,1,2024-01-25 07:25:18,4.81.2
Gibran Muhammad,Mantap dah,5,2024-01-25 03:52:05,4.81.2
sefana arum syahrani 31,Bagus,4,2024-01-25 07:39:32,4.81.2
Rahmat Kristiono,Sangat membantu,5,2024-01-25 03:48:07,4.81.2
Limatul Arofah,Knpa gopaylater saya gk bisa di pake percuma ada limit nya,5,2024-01-25 03:41:25,4.81.2
Febrianti Anastasia,Membantu sekali dlm pengiriman usaha kecil kami yg berada di 2 lokasi yg lumayan cukup jauh antara rumah store 1  store 2,5,2024-01-25 10:22:21,4.81.2
Aku aku,baik santai dan halus ,5,2024-01-25 10:28:46,4.81.2
Danu Oon,saran buat gojek nih ya tolong dong di ada in seluruh Indonesia biar enak perjalanan nya,2,2024-01-25 17:36:05,4.81.2
Kei Cia,DUIT HILANG,1,2024-01-25 10:41:48,4.81.2
Indra MS,Sudah nyoba berkali kali gopaylatter  gopay pinjam selalu gagal trus knp sih gajelas,1,2024-01-25 13:37:48,4.81.2
Ellia C. Putri,Amanah,5,2024-01-24 23:24:51,4.81.2
Anwar Makmur,Kadang lama datang nya,4,2024-01-25 14:01:35,4.81.2
Fris Ka,Sngt baik se cuma sdikt hrus di perbaikim sja,4,2024-01-25 14:08:29,4.81.2
Ibun baqir,Yg penting drivernya ramah dan sabar aja sih udah oke,4,2024-01-24 22:51:51,4.81.2
MARIO YULI,3 menit golek sama Dengan 45 menit,2,2024-01-25 14:19:05,4.81.2
mael aja,Lebih cepat respon aplikasinya,5,2024-01-24 20:12:37,4.81.2
Suparno Parno,Aplikasi gojekny gak bisa di buka,5,2024-01-25 14:32:28,4.81.2
MRamadhanM,Wokeee,5,2024-01-25 14:40:01,4.81.2
Thomas Deky,Urusan perjalanan dan pengiriman jd mudahterima kasih gojek,5,2024-01-25 14:41:07,4.81.2
Ferdy Setiawan,Ok,5,2024-01-24 19:32:17,4.81.2
M Syaifudin,Sangat membantu masyarakat Indonesia,5,2024-01-24 19:09:15,4.81.2
Nugroho Yulianto,Top,5,2024-01-25 14:50:15,4.81.2
Benny Irawan,Call center dengan tarif mahal,1,2024-01-25 14:50:23,4.81.2
Desiana Intansari,Cukup puas,4,2024-01-25 15:24:48,4.81.2
Rizal Ariyanto,Tolong di perbaiki ya Banyak laporan customer kalau aplikasi dari gojekselalu mencari Dreverdan juga aplikasi sayasudah saya ondari gojek nya bilang anda tidak sedang onoff ,1,2024-01-25 15:27:06,4.81.2
Pudin Pudin,Sayang teman,5,2024-01-24 18:44:04,4.81.2
Argya Reswara,Tiap top up pake di tanya pake perangkat lain Isi nunggu kode otp yang ga masuk,1,2024-01-25 15:35:41,4.81.2
Lailatul Zulfah,Atw sx3xca ,2,2024-01-25 15:48:54,4.81.2
Windi Lestari,Mau membatalkan pesanan eh malah suruh chat sama CS bot udah berkali2 ngajuin pembatalan tapi ngga dihubung2kan dengan CS manusia akun resto fake dan clonning restonya mah ada tapi akun yg saya order itu clonningan dr orang tak bertanggung jawab gimana cara jelasinnya kalo yang saya hadapi CS bot Nggak ada dana buat bayar admin CS,1,2024-01-25 16:38:13,4.81.2
Devri Diovanni,Sangat memuaskan,5,2024-01-25 17:19:11,4.81.2
Handri Yanto,Aneh sama aplikasi gojek kalau setiap jam 3 pagi dpt driver jauh  jauh,1,2024-01-24 18:30:32,4.81.2
Aditya umar Mubaroq,Fitur top up selalu eror tolong dong di perbaiki,3,2024-01-25 17:25:21,4.81.2
riyash ok,Semakin lama semakin aneh Udah ga ada sama sekali promo di aplikasi ku udah coba nanya ke CS malah bot yg jawab,1,2024-01-25 13:27:33,4.81.2
Acep Somantri,Tiap chat driver atau restoran selalu ceklis satupadahal sinyal bagus,2,2024-01-25 13:24:51,4.81.2
apip muliawan,Best app ever sangat membantu disaat lapar,5,2024-01-25 13:20:33,4.81.2
Abdul Basyir,Saya lagi cari driver padahal di peta ada driver gocar dekat tp kok tetap ga dapetdapet driver seharusnya driver yang dekat dengan saya merespon,1,2024-01-25 11:25:16,4.81.2
SAMSINAR S,tidak bisa meng cancel pesanan padahal resto yang tutup kasian driver nya sudah ter ganti,1,2024-01-25 10:42:34,4.81.2
Sams BGR,Minim promo gofood nya kebanyakan bersyarat Kalah sama aplikasi si orange food,2,2024-01-25 10:43:49,4.81.2
Dyah Mulyadi,Pesen gofood prosedurnya rumit dan lamamengabari restoresto menyiapkan pesananproses nya ada 30 menit habis itu nyari drivertotal bisa 1 jam an meski jarak rsto cuma 100 m kalau kamu bilang ini demi peningkatan kualitas layanan itu bohong besarkenyataannya siap siap kehilangam costumer karena orang pesen gojek karena pengem praktis kalau prosedurnya rumit dan lama mending datang langsung ke warung paham nggaksiap siap ditinggal apk sebelah yg masih pakaincara lama tapi cepet,2,2024-01-25 10:44:24,4.81.2
a. kurnia,kan baru saya instal apl nyaa kok ada tulisan apl eror kakkk udah 3 kali ttp apl eror,1,2024-01-25 10:49:29,4.81.2
Anjasmara dk,Saya driver Gojek saya mengeluh orderan yg saya dapat sulit sekali dalam 1 minggu saya cuma dapat 1 order Bagaimana ini Sejak pembaruan dimana sistem saldo dijadikan 1 yaitu Gopay saja,5,2024-01-25 10:50:19,4.81.2
Lusiana Aisyah,Mantap driver ramah,5,2024-01-25 10:59:27,4.81.2
Nawa ardia,Sangat bagus,5,2024-01-25 11:05:22,4.81.2
Azura Nanda Lutfiah,Kenapa setelah nambah limitsekarang malah gomart ku ga bisa pake paylater yaaada yg tau kenapa solusinya donk kakak,3,2024-01-25 11:08:10,4.81.2
Artuk villar,sangat membantu,5,2024-01-25 11:08:12,4.81.2
De Al,Ok,5,2024-01-25 11:15:56,4.81.2
poho deui,Tiap kali transaksi selalu muncul oops ada sedikit gangguan mau komplain gaada livechat isinya panduan semua gaada solusi,1,2024-01-25 00:45:36,4.81.2
NABILAH ZAKIYYAH,Baguss bgt tapi apa harus pake otp hrsnya pin kode aja ,5,2024-01-25 13:07:37,4.81.2
Almaidah Sandria,Mantaap,5,2024-01-25 11:37:38,4.81.2
Yogia Sembiring,Sederhana dan Mudah dipahami,5,2024-01-25 00:35:13,4.81.2
Fitriasari Slamet,Sejauh ini sgt membantu,5,2024-01-25 12:04:59,4.81.2
Jainuri Nuri,Ok,5,2024-01-25 12:06:42,4.81.2
oni tahroni,Saya kasih 5 lagi,5,2024-01-25 12:11:06,4.81.2
Imanuel Aska,Kenapa saya mau ganti nomor selalu tidak bisa ,2,2024-01-25 12:16:30,4.81.2
Aji Pangestu Dwi Saputra,good,5,2024-01-25 12:23:03,4.81.2
Alexa Kevin,Sangat baik,5,2024-01-25 12:26:00,4.81.2
Waribo Manibury,Top,5,2024-01-25 12:43:26,4.81.2
Amri Sae,Bagus,5,2024-01-24 23:50:51,4.81.2
Santy Rahmi,THE BEST,5,2024-01-26 10:59:06,4.81.2
Vinn,Haduhhh Ini Aplikasi Bukannya Bikin Enak Malah Makin Susah Masalah Terdapat Pada PIN Baru Pertama Kali Coba Dibilang Terlalu Banyak Mencoba Padahal Baru Pertama Kali Coba Loh Haduhhhh,3,2024-01-24 10:43:04,4.81.2
Diah Anggraini Novitasari,mantab,5,2024-01-26 11:04:40,4.81.2
Tati Masnawati,Bagus sih cuman agak jauh2 nyari driver nya,3,2024-01-27 09:34:20,4.81.2
sabungan gultom,Bagustingkatkan lagi,4,2024-01-24 05:06:34,4.81.2
Jeremia Glen Fransiskus Samosir,Apk aneh driver songong Udah gitu kalo hujan lama bgt nyarinya,1,2024-01-27 06:45:40,4.81.2
Rian Rusyadi,driver 5000 nyebelin emank bukan pake akun ini ordernya tapi kan ngeselinminta tips koq maksa pengemis aja ga segitunya,1,2024-01-24 04:47:53,4.81.2
Aaron Jason,MENGAPA PUNYA SAYA GABISA PASANG PROMOGOJEK GAJELASMAU NYA BIAR HEMAT MALAH RUGI,1,2024-01-24 04:44:31,4.81.2
Rangga SK,Mantab,5,2024-01-27 06:50:48,4.81.2
Muhammad Furqon,Oke masih bisa dijadikan pilihan,5,2024-01-24 04:31:49,4.81.2
Blibli Incubator,APLIKASI RUSAK,1,2024-01-27 06:52:32,4.81.2
u'Wuu,APA APANN SAYA IKUT DAN BAYAR PAKAI UANG BUAT DAPATKAN GRATIS ONGKIR MALAH DI GETOK 15RB  KOCAKK SUDAH BAYAR DI SURUH BAYAR LAGI DASAR TIDAK BERGUNA BALIKIN UANG GOFOODPLUS SAYAA,1,2024-01-27 06:53:47,4.81.2
Adi Ndezzo,Sangat bagus,5,2024-01-24 04:30:05,4.81.2
Jean Riko Kurniawan Putra,Udah diajukan banding tetap ditolak Ini nomor gak pernah penyalahgunaan aplikasi malah dituduh Fixed kalian memang gak berguna,1,2024-01-27 07:06:19,4.81.2
ff.chocoby_30,Alhamdulilah semenjak pake apk gojek gada kendala di apk maupun ojol nyakarena lamcar semua dan thebest bgt sii semoga makin sukses apk gojekAamiin ojol nya ramah bgt stiap mesen ga kea di apk sebelah,5,2024-01-27 07:17:56,4.81.2
Nur Hayani,Tepat waktu,5,2024-01-27 07:18:38,4.81.2
Ngkongs Soedakhtjoekoep,Suka,5,2024-01-24 04:03:49,4.81.2
MULYADI,Sudah ada fitur gopay later  gopay pinjam nya Aplikasi gojek Keren ada kemajuan Fiturfiturnya benarbenar bermanfaat ,5,2024-01-27 07:44:25,4.81.2
Sekar Alamanda,Oke,5,2024-01-27 07:44:37,4.81.2
dims wick,Gosendnya busukkk,2,2024-01-27 08:03:04,4.81.2
MUHAMAD ANANDA,Masalah teroecahkan,5,2024-01-27 08:06:35,4.81.2
Didi Dewantara,Mana promonya niy saya pelanggan go ride,1,2024-01-27 08:14:27,4.81.2
Amel Lia,Tiba2 gopay later gua di blokir pdhl gk prnh tlt byr mnding uninstall aja,1,2024-01-27 08:24:27,4.81.2
Adi Pky,Topjods,5,2024-01-27 08:26:36,4.81.2
sandrina biyanka,Ga jelas main blokir sepihak,1,2024-01-24 03:45:48,4.81.2
Mr Blue Dendy,puas,5,2024-01-27 09:25:15,4.81.2
Sartono SPL,Sejak GoPay aplikasi tersendiri disitulah terasa sulit jangan ganti manajemenpimpinan ganti pula kebijakan seperti kementerian pendidikan bae kebijakan gonta ganti,1,2024-01-24 05:07:32,4.81.2
dian purnama,exellent,5,2024-01-27 06:32:08,4.81.2
"Nurlaili, S.Pd.I",Kenapa setelah update saya tidak bisa mengkoneksikan my Telkomsel ke gojek untuk isi pulsa padahal sebelum update aplikasi selalu lancar sekali Ini setiap terhubung ditulis sinyal internet saya offline padahal online dan sinyal sangat kuat Setelah coba berkali kali malah semakin tidak bisa Tolong diperhatikan lagi Kalau begini percuma saya isi saldo gopay Karena saya hanya memakai untuk pembayaran saja untuk transportasi tidak terlalu saya butuhkan disini karena daerah kami belum ada gojek,1,2024-01-27 06:28:49,4.81.2
Anamukmin Amir,Mantap,5,2024-01-27 05:27:02,4.81.2
balbod agustiati,Draovernya ramah,5,2024-01-27 04:32:36,4.81.2
Pengguna Google,saya baru saja memasukkan promo GORIDEAJA dan disitu tertulis kalau voucher saya dapat digunakan dan ketika sy membuka halaman voucher tidak ada voucher goride yg muncul,1,2024-01-27 04:38:29,4.81.2
dekik 36,sangat membantu,5,2024-01-27 04:45:46,4.81.2
danial kurniawan,Susah mau upgrade ke gopay plus nya,3,2024-01-27 04:46:28,4.81.2
Abi Manggis,Memuaskan,4,2024-01-27 04:53:52,4.81.2
Caecilia Fany,Mantap,5,2024-01-27 05:02:02,4.81.2
Irfan Rahadian,Ok,5,2024-01-24 06:26:11,4.81.2
Putri Tatalia,Memnudahkan dlm berkendara,5,2024-01-24 06:21:46,4.81.2
Irgi Farisi 04,Lama dapet driver lol,1,2024-01-27 05:09:41,4.81.2
Hanan A S,Matap,5,2024-01-27 05:15:47,4.81.2
Widya Sofyanti,Terimakasih layanannya cepat n murah,5,2024-01-27 05:28:33,4.81.2
Agus Setiawan,Mantap,5,2024-01-27 06:18:14,4.81.2
Dedy Wahyudin,Good,5,2024-01-27 05:32:28,4.81.2
Aditama Channel,njumumnngumumin iuu,3,2024-01-24 06:16:06,4.81.2
The One,The best,5,2024-01-24 06:13:38,4.81.2
Murtasia Sia,Hu 6y,5,2024-01-27 05:48:12,4.81.2
Mai 555,Buruk susah sinyal selalu,1,2024-01-24 05:53:55,4.81.2
Yogi Punya,semakin buruk lama lama kenapa di berikan driver jauh tidak yang terdekat,1,2024-01-27 06:01:58,4.81.2
rudi Otreh,mantap cepat,5,2024-01-27 06:08:00,4.81.2
sinar bulan,Makin jelekdi update mlh gak bisa di buka,1,2024-01-27 06:11:27,4.81.2
victor pratama,Gampang dan mudah di gunakan,5,2024-01-27 06:13:28,4.81.2
uptppd kasongan,sangat membantu transportasi,5,2024-01-27 06:14:06,4.81.2
Adil Ditor,Pada tanggal 23 kemarin saya mebatalkan pesanan ojek tapi saldo saya tidak kembali,1,2024-01-24 03:31:19,4.81.2
